罗小黑战记,9.5,大陆,喜剧,https://movie.douban.com/subject/10477598/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496903956.jpg
阅后即瞎,9.5,大陆,喜剧,https://movie.douban.com/subject/27065659/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2462137400.jpg
囧的呼唤,9.5,大陆,喜剧,https://movie.douban.com/subject/26868389/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2378136432.jpg
瞎看什么,9.6,大陆,喜剧,https://movie.douban.com/subject/27034682/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2458907531.jpg
国际狼王争霸赛,9.5,大陆,喜剧,https://movie.douban.com/subject/27021068/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494084310.jpg
向阳理发店,9.5,大陆,喜剧,https://movie.douban.com/subject/3765668/,https://img3.doubanio.com/f/movie/03d3c900d2a79a15dc1295154d5293a2d5ebd792/pics/movie/tv_default_large.png
土豆周末秀,9.4,大陆,喜剧,https://movie.douban.com/subject/26727342/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2401470673.jpg
小梦帮倒忙Z,9.4,大陆,喜剧,https://movie.douban.com/subject/25980526/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2199278164.jpg
假打外传,9.4,大陆,喜剧,https://movie.douban.com/subject/21323336/,https://img1.doubanio.com/lpic/s24925457.jpg
老坎客栈,9.3,大陆,喜剧,https://movie.douban.com/subject/6521946/,https://img3.doubanio.com/lpic/s6512205.jpg
武林外传,9.3,大陆,喜剧,https://movie.douban.com/subject/3882715/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1334122023.jpg
大盗贼,9.3,大陆,喜剧,https://movie.douban.com/subject/1899125/,https://img3.doubanio.com/lpic/s1877394.jpg
一人之下 第二季,9.3,大陆,喜剧,https://movie.douban.com/subject/27034748/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2503247980.jpg
济公活佛,9.3,大陆,喜剧,https://movie.douban.com/subject/26378248/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322248081.jpg
超兽武装之勇者无惧,9.3,大陆,喜剧,https://movie.douban.com/subject/10728463/,https://img3.doubanio.com/lpic/s11173926.jpg
王先生和小陈,9.3,大陆,喜剧,https://movie.douban.com/subject/4265312/,https://img3.doubanio.com/f/movie/03d3c900d2a79a15dc1295154d5293a2d5ebd792/pics/movie/tv_default_large.png
七色战记,9.3,大陆,喜剧,https://movie.douban.com/subject/10756786/,https://img1.doubanio.com/lpic/s9126588.jpg
鬼子来了,9.2,大陆,喜剧,https://movie.douban.com/subject/1291858/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg
极限挑战 第二季,9.2,大陆,喜剧,https://movie.douban.com/subject/26615572/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329745796.jpg
山城棒棒军,9.2,大陆,喜剧,https://movie.douban.com/subject/3010197/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2374798121.jpg
